id,lat,lon,pft
AT-Neu,47.1,11.3,GRL
AU-ASM,-22.3,133.2,ENF
AU-Cpr,-34,140.6,SVN
AU-DaP,-14.1,131.3,GRL
AU-How,-12.5,131.2,WS
AU-Stp,-17.2,133.4,GRL
AU-Wac,-37.4,145.2,EBF
AU-Wom,-37.4,144.1,EBF
BE-Lon,50.6,4.7,CRL
BE-Vie,50.3,6,MF
CA-Gro,48.2,-82.2,MF
CA-Qfo,49.7,-74.3,ENF
CA-TP1,42.7,-80.6,ENF
CA-TP3,42.7,-80.3,ENF
CA-TPD,42.6,-80.6,DBF
CH-Cha,47.2,8.4,GRL
CH-Fru,47.1,8.5,GRL
CN-HaM,37.4,101.2,GRL
CZ-wet,49,14.8,WLD
DE-Geb,51.1,10.9,CRL
DE-Gri,51,13.5,GRL
DE-Hai,51.1,10.5,DBF
DE-Kli,50.9,13.5,CRL
DE-Obe,50.8,13.7,ENF
DE-Tha,51,13.6,ENF
DK-Eng,55.7,12.2,GRL
ES-Amo,36.8,-2.3,OSL
ES-LJu,36.9,-2.8,OSL
FI-Hyy,61.8,24.3,ENF
FI-Jok,60.9,23.5,CRL
FI-Let,60.6,24,ENF
FI-Sod,67.4,26.6,ENF
FR-LBr,44.7,-0.8,ENF
FR-Pue,43.7,3.6,EBF
IT-Cpz,41.7,12.4,EBF
IT-Lav,46,11.3,ENF
IT-MBo,46,11,GRL
IT-Noe,40.6,8.2,CSL
IT-Ren,46.6,11.4,ENF
IT-Ro2,42.4,11.9,DBF
IT-SRo,43.7,10.3,ENF
IT-Tor,45.8,7.6,GRL
NL-Hor,52.2,5.1,GRL
RU-Fyo,56.5,32.9,ENF
US-AR2,36.6,-99.6,GRL
US-ARM,36.6,-97.5,CRL
US-Blo,38.9,-120.6,ENF
US-CRT,41.6,-83.3,CRL
US-GLE,41.4,-106.2,ENF
US-Goo,34.3,-89.9,GRL
US-IB2,41.8,-88.2,GRL
US-KS2,28.6,-80.7,CSL
US-Los,46.1,-90,WLD
US-NR1,40,-105.5,ENF
US-Prr,65.1,-147.5,ENF
US-Syv,46.2,-89.3,MF
US-Ton,38.4,-121,WS
US-Var,38.4,-121,GRL
US-WCr,45.8,-90.1,DBF
US-Whs,31.7,-110.1,OSL
